Course Code,Course Title,Credits,Status,Year,Materials,Grade,Mode,Attendance
CSC 111,Introduction to Computer Science,3,C,1,Yes,B,Hybrid,77.4
CSC 111,Introduction to Computer Science,3,C,1,Yes,A,Physical,76.2
CSC 111,Introduction to Computer Science,3,C,1,Yes,D,Physical,100
CSC 111,Introduction to Computer Science,3,C,1,Yes,C,Physical,98.8
CSC 111,Introduction to Computer Science,3,C,1,No,B,Physical,100
CSC 111,Introduction to Computer Science,3,C,1,Yes,F,Physical,92.8
CSC 111,Introduction to Computer Science,3,C,1,No,A,Physical,92.7
CSC 111,Introduction to Computer Science,3,C,1,Yes,B,Physical,100
CSC 111,Introduction to Computer Science,3,C,1,Yes,E,Physical,81.3
CSC 111,Introduction to Computer Science,3,C,1,Yes,B,Physical,100
CSC 111,Introduction to Computer Science,3,C,1,Yes,B,Online,77.6
CSC 111,Introduction to Computer Science,3,C,1,No,C,Physical,100
CSC 111,Introduction to Computer Science,3,C,1,No,D,Physical,100
CSC 111,Introduction to Computer Science,3,C,1,No,A,Online,100
CSC 111,Introduction to Computer Science,3,C,1,No,E,Physical,89.3
CSC 111,Introduction to Computer Science,3,C,1,Yes,D,Online,69.6
CSC 111,Introduction to Computer Science,3,C,1,No,B,Hybrid,88.8
CSC 111,Introduction to Computer Science,3,C,1,Yes,D,Hybrid,81.6
CSC 111,Introduction to Computer Science,3,C,1,Yes,B,Online,84.4
CSC 111,Introduction to Computer Science,3,C,1,Yes,C,Online,72.9
CSC 111,Introduction to Computer Science,3,C,1,Yes,D,Hybrid,82
CSC 111,Introduction to Computer Science,3,C,1,Yes,F,Physical,55.4
CSC 111,Introduction to Computer Science,3,C,1,Yes,A,Hybrid,67.2
CSC 111,Introduction to Computer Science,3,C,1,No,C,Hybrid,78.7
CSC 111,Introduction to Computer Science,3,C,1,Yes,C,Physical,97.6
CSC 111,Introduction to Computer Science,3,C,1,Yes,B,Online,86.3
CSC 111,Introduction to Computer Science,3,C,1,Yes,B,Hybrid,78.4
CSC 111,Introduction to Computer Science,3,C,1,Yes,A,Hybrid,81.5
CSC 111,Introduction to Computer Science,3,C,1,No,C,Physical,67.5
CSC 111,Introduction to Computer Science,3,C,1,Yes,C,Physical,98.1
CSC 111,Introduction to Computer Science,3,C,1,No,B,Physical,100
CSC 111,Introduction to Computer Science,3,C,1,No,D,Physical,77
CSC 111,Introduction to Computer Science,3,C,1,Yes,D,Hybrid,94.1
CSC 111,Introduction to Computer Science,3,C,1,Yes,C,Hybrid,89.5
CSC 111,Introduction to Computer Science,3,C,1,No,B,Physical,100
CSC 111,Introduction to Computer Science,3,C,1,No,C,Hybrid,98.3
CSC 111,Introduction to Computer Science,3,C,1,No,B,Online,100
CSC 111,Introduction to Computer Science,3,C,1,No,B,Physical,100
CSC 111,Introduction to Computer Science,3,C,1,Yes,D,Physical,73.3
CSC 111,Introduction to Computer Science,3,C,1,Yes,A,Online,81
CSC 111,Introduction to Computer Science,3,C,1,Yes,A,Physical,100
CSC 111,Introduction to Computer Science,3,C,1,No,A,Physical,87.8
CSC 111,Introduction to Computer Science,3,C,1,No,B,Hybrid,100
CSC 111,Introduction to Computer Science,3,C,1,Yes,A,Hybrid,91.3
CSC 111,Introduction to Computer Science,3,C,1,Yes,F,Physical,89.9
CSC 111,Introduction to Computer Science,3,C,1,Yes,B,Online,73.3
CSC 111,Introduction to Computer Science,3,C,1,Yes,A,Physical,100
CSC 111,Introduction to Computer Science,3,C,1,No,B,Hybrid,87.3
CSC 111,Introduction to Computer Science,3,C,1,No,E,Physical,100
CSC 111,Introduction to Computer Science,3,C,1,No,C,Online,100
CSC 111,Introduction to Computer Science,3,C,1,Yes,B,Online,88.8
CSC 111,Introduction to Computer Science,3,C,1,Yes,E,Physical,71
CSC 111,Introduction to Computer Science,3,C,1,No,B,Online,88.7
CSC 111,Introduction to Computer Science,3,C,1,No,B,Hybrid,96.1
CSC 111,Introduction to Computer Science,3,C,1,Yes,B,Hybrid,97.8
CSC 111,Introduction to Computer Science,3,C,1,No,B,Physical,100
CSC 111,Introduction to Computer Science,3,C,1,Yes,B,Physical,100
CSC 111,Introduction to Computer Science,3,C,1,Yes,C,Physical,99.7
CSC 111,Introduction to Computer Science,3,C,1,Yes,B,Hybrid,71.9
CSC 111,Introduction to Computer Science,3,C,1,Yes,C,Physical,72.7
CSC 111,Introduction to Computer Science,3,C,1,Yes,A,Physical,100
MAT 101,Algebra,3,C,1,Yes,B,Physical,85.6
MAT 101,Algebra,3,C,1,No,C,Physical,94.3
MAT 101,Algebra,3,C,1,Yes,E,Physical,66.6
MAT 101,Algebra,3,C,1,Yes,B,Physical,100
MAT 101,Algebra,3,C,1,No,C,Physical,75.1
MAT 101,Algebra,3,C,1,Yes,B,Physical,100
MAT 101,Algebra,3,C,1,Yes,A,Physical,89.6
MAT 101,Algebra,3,C,1,No,A,Online,77.8
MAT 101,Algebra,3,C,1,Yes,B,Physical,72.8
MAT 101,Algebra,3,C,1,Yes,B,Physical,86.9
MAT 101,Algebra,3,C,1,Yes,B,Physical,94.8
MAT 101,Algebra,3,C,1,Yes,D,Hybrid,80.8
MAT 101,Algebra,3,C,1,No,A,Online,97.6
MAT 101,Algebra,3,C,1,No,C,Physical,100
MAT 101,Algebra,3,C,1,No,B,Online,100
MAT 101,Algebra,3,C,1,No,C,Physical,100
MAT 101,Algebra,3,C,1,No,C,Physical,100
MAT 101,Algebra,3,C,1,Yes,B,Hybrid,77.1
MAT 101,Algebra,3,C,1,No,B,Physical,100
MAT 101,Algebra,3,C,1,Yes,D,Physical,100
MAT 101,Algebra,3,C,1,No,E,Hybrid,74.8
MAT 101,Algebra,3,C,1,No,B,Hybrid,76.4
MAT 101,Algebra,3,C,1,Yes,A,Hybrid,83.4
MAT 101,Algebra,3,C,1,Yes,E,Hybrid,91.2
MAT 101,Algebra,3,C,1,Yes,B,Hybrid,79.5
MAT 101,Algebra,3,C,1,Yes,C,Physical,97.5
MAT 101,Algebra,3,C,1,No,B,Online,94.5
MAT 101,Algebra,3,C,1,No,A,Online,100
MAT 101,Algebra,3,C,1,Yes,C,Hybrid,72.8
MAT 101,Algebra,3,C,1,Yes,C,Hybrid,100
MAT 101,Algebra,3,C,1,Yes,B,Online,84.8
MAT 101,Algebra,3,C,1,Yes,C,Physical,81.5
MAT 101,Algebra,3,C,1,Yes,D,Hybrid,73.8
MAT 101,Algebra,3,C,1,Yes,C,Hybrid,75.2
MAT 101,Algebra,3,C,1,No,A,Physical,100
MAT 101,Algebra,3,C,1,Yes,C,Hybrid,78.3
MAT 101,Algebra,3,C,1,Yes,D,Physical,93.6
MAT 101,Algebra,3,C,1,No,D,Physical,100
MAT 101,Algebra,3,C,1,Yes,C,Physical,73.7
MAT 101,Algebra,3,C,1,No,B,Physical,95
MAT 101,Algebra,3,C,1,No,D,Online,69.8
MAT 101,Algebra,3,C,1,Yes,C,Hybrid,100
MAT 101,Algebra,3,C,1,Yes,A,Hybrid,75
MAT 101,Algebra,3,C,1,Yes,C,Hybrid,69.1
MAT 101,Algebra,3,C,1,Yes,B,Physical,100
MAT 101,Algebra,3,C,1,Yes,C,Physical,100
MAT 101,Algebra,3,C,1,No,B,Physical,93
MAT 101,Algebra,3,C,1,Yes,C,Online,79.1
MAT 101,Algebra,3,C,1,Yes,E,Physical,76.6
MAT 101,Algebra,3,C,1,Yes,D,Online,94.3
MAT 101,Algebra,3,C,1,No,E,Online,67.5
MAT 101,Algebra,3,C,1,Yes,F,Hybrid,79
MAT 101,Algebra,3,C,1,Yes,A,Online,82.9
MAT 101,Algebra,3,C,1,Yes,C,Hybrid,72.9
MAT 101,Algebra,3,C,1,No,C,Physical,100
MAT 101,Algebra,3,C,1,Yes,E,Hybrid,65.6
MAT 101,Algebra,3,C,1,No,B,Online,86.4
MAT 101,Algebra,3,C,1,No,F,Physical,88.1
MAT 101,Algebra,3,C,1,Yes,C,Physical,100
MAT 101,Algebra,3,C,1,No,D,Hybrid,77
MAT 101,Algebra,3,C,1,Yes,A,Physical,94.6
MAT 101,Algebra,3,C,1,No,B,Physical,100
MAT 101,Algebra,3,C,1,No,D,Hybrid,90.8
MAT 101,Algebra,3,C,1,Yes,A,Physical,84.6
MAT 101,Algebra,3,C,1,Yes,D,Online,77.3
MAT 101,Algebra,3,C,1,No,A,Physical,91
MAT 101,Algebra,3,C,1,Yes,C,Physical,75.2
MAT 101,Algebra,3,C,1,Yes,B,Physical,83
MAT 101,Algebra,3,C,1,Yes,C,Physical,93.8
MAT 101,Algebra,3,C,1,Yes,C,Online,100
MAT 101,Algebra,3,C,1,No,B,Physical,100
MAT 101,Algebra,3,C,1,Yes,A,Hybrid,78.4
MAT 101,Algebra,3,C,1,Yes,A,Physical,91.2
MAT 101,Algebra,3,C,1,Yes,C,Physical,100
MAT 101,Algebra,3,C,1,No,C,Online,74.9
MAT 101,Algebra,3,C,1,Yes,D,Physical,72.8
MAT 101,Algebra,3,C,1,No,C,Online,100
MAT 101,Algebra,3,C,1,Yes,C,Physical,88.5
MAT 101,Algebra,3,C,1,No,B,Physical,100
MAT 101,Algebra,3,C,1,Yes,A,Hybrid,100
MAT 101,Algebra,3,C,1,Yes,B,Online,100
MAT 101,Algebra,3,C,1,Yes,F,Physical,83.9
MAT 101,Algebra,3,C,1,No,E,Physical,100
MAT 101,Algebra,3,C,1,No,B,Physical,100
MAT 101,Algebra,3,C,1,Yes,C,Hybrid,83.7
MAT 101,Algebra,3,C,1,No,D,Physical,80.5
MAT 101,Algebra,3,C,1,No,C,Online,87.2
MAT 101,Algebra,3,C,1,Yes,A,Physical,100
MAT 101,Algebra,3,C,1,Yes,A,Physical,92.6
MAT 101,Algebra,3,C,1,Yes,C,Online,72.3
MAT 101,Algebra,3,C,1,Yes,F,Physical,83.5
MAT 101,Algebra,3,C,1,No,C,Physical,77.9
MAT 101,Algebra,3,C,1,No,A,Physical,100
MAT 101,Algebra,3,C,1,No,B,Online,69.2
MAT 101,Algebra,3,C,1,Yes,D,Physical,85.1
MAT 101,Algebra,3,C,1,Yes,D,Physical,80.8
MAT 101,Algebra,3,C,1,No,C,Physical,100
MAT 101,Algebra,3,C,1,No,C,Hybrid,89.4
MAT 101,Algebra,3,C,1,No,A,Online,85.1
MAT 101,Algebra,3,C,1,No,D,Hybrid,100
MAT 111,Trigonometry,2,C,1,No,D,Physical,78
MAT 111,Trigonometry,2,C,1,Yes,B,Hybrid,100
MAT 111,Trigonometry,2,C,1,Yes,D,Physical,81.9
MAT 111,Trigonometry,2,C,1,No,B,Physical,76.5
MAT 111,Trigonometry,2,C,1,No,A,Hybrid,100
MAT 111,Trigonometry,2,C,1,Yes,B,Hybrid,74.5
MAT 111,Trigonometry,2,C,1,Yes,B,Physical,69.3
MAT 111,Trigonometry,2,C,1,No,B,Online,86.9
MAT 111,Trigonometry,2,C,1,Yes,C,Physical,84.4
MAT 111,Trigonometry,2,C,1,Yes,C,Hybrid,94.5
MAT 111,Trigonometry,2,C,1,Yes,C,Physical,67
MAT 111,Trigonometry,2,C,1,No,B,Physical,100
MAT 111,Trigonometry,2,C,1,No,A,Hybrid,89
MAT 111,Trigonometry,2,C,1,Yes,C,Hybrid,67.8
MAT 111,Trigonometry,2,C,1,No,B,Physical,84.1
MAT 111,Trigonometry,2,C,1,Yes,B,Physical,90
MAT 111,Trigonometry,2,C,1,Yes,E,Hybrid,97
MAT 111,Trigonometry,2,C,1,No,D,Physical,100
MAT 111,Trigonometry,2,C,1,No,E,Hybrid,92.4
MAT 111,Trigonometry,2,C,1,No,C,Physical,88.4
MAT 111,Trigonometry,2,C,1,No,A,Physical,93.8
MAT 111,Trigonometry,2,C,1,Yes,C,Physical,77.8
MAT 111,Trigonometry,2,C,1,Yes,B,Physical,80.6
MAT 111,Trigonometry,2,C,1,Yes,C,Hybrid,77.5
MAT 111,Trigonometry,2,C,1,Yes,A,Physical,100
MAT 111,Trigonometry,2,C,1,Yes,D,Physical,100
MAT 111,Trigonometry,2,C,1,No,A,Physical,100
MAT 111,Trigonometry,2,C,1,Yes,E,Physical,100
MAT 111,Trigonometry,2,C,1,No,E,Physical,100
MAT 111,Trigonometry,2,C,1,No,C,Physical,92.8
MAT 111,Trigonometry,2,C,1,No,D,Physical,78.4
MAT 111,Trigonometry,2,C,1,Yes,C,Hybrid,84.7
MAT 111,Trigonometry,2,C,1,Yes,D,Hybrid,97.9
MAT 111,Trigonometry,2,C,1,Yes,C,Physical,81.3
MAT 111,Trigonometry,2,C,1,Yes,D,Physical,73.3
MAT 111,Trigonometry,2,C,1,No,C,Physical,73.6
MAT 111,Trigonometry,2,C,1,Yes,E,Physical,87.9
MAT 111,Trigonometry,2,C,1,Yes,C,Hybrid,69.4
MAT 111,Trigonometry,2,C,1,No,C,Physical,90
MAT 111,Trigonometry,2,C,1,Yes,D,Physical,84.7
MAT 111,Trigonometry,2,C,1,No,D,Physical,100
MAT 111,Trigonometry,2,C,1,No,C,Physical,85.6
MAT 111,Trigonometry,2,C,1,No,B,Online,100
MAT 111,Trigonometry,2,C,1,Yes,C,Physical,100
MAT 111,Trigonometry,2,C,1,Yes,F,Online,67.7
MAT 111,Trigonometry,2,C,1,No,D,Hybrid,94.2
MAT 111,Trigonometry,2,C,1,Yes,D,Hybrid,65.7
MAT 111,Trigonometry,2,C,1,No,A,Hybrid,76.2
MAT 111,Trigonometry,2,C,1,No,C,Hybrid,75.4
MAT 111,Trigonometry,2,C,1,No,C,Physical,100
MAT 111,Trigonometry,2,C,1,Yes,D,Hybrid,72
MAT 111,Trigonometry,2,C,1,Yes,A,Online,76.8
MAT 111,Trigonometry,2,C,1,No,E,Online,98.5
MAT 111,Trigonometry,2,C,1,Yes,C,Hybrid,83.5
MAT 111,Trigonometry,2,C,1,Yes,B,Online,79.3
MAT 111,Trigonometry,2,C,1,Yes,B,Hybrid,98
MAT 111,Trigonometry,2,C,1,No,B,Physical,89.3
MAT 111,Trigonometry,2,C,1,No,C,Hybrid,100
MAT 111,Trigonometry,2,C,1,Yes,A,Physical,76.1
MAT 111,Trigonometry,2,C,1,Yes,B,Physical,81.1
MAT 111,Trigonometry,2,C,1,No,D,Online,100
MAT 111,Trigonometry,2,C,1,No,A,Hybrid,72.6
MAT 111,Trigonometry,2,C,1,Yes,B,Online,88.9
MAT 111,Trigonometry,2,C,1,Yes,C,Physical,77.2
MAT 111,Trigonometry,2,C,1,No,C,Physical,100
MAT 111,Trigonometry,2,C,1,No,D,Online,66.6
MAT 111,Trigonometry,2,C,1,No,C,Physical,100
MAT 111,Trigonometry,2,C,1,No,D,Online,97.4
MAT 111,Trigonometry,2,C,1,Yes,C,Hybrid,63.7
MAT 111,Trigonometry,2,C,1,Yes,A,Physical,86.4
MAT 111,Trigonometry,2,C,1,No,B,Physical,94.7
MAT 111,Trigonometry,2,C,1,No,C,Physical,77.2
MAT 111,Trigonometry,2,C,1,No,B,Physical,100
MAT 111,Trigonometry,2,C,1,No,D,Physical,79.2
MAT 111,Trigonometry,2,C,1,Yes,C,Hybrid,98.3
MAT 111,Trigonometry,2,C,1,Yes,B,Online,63.1
MAT 111,Trigonometry,2,C,1,No,B,Online,97.9
MAT 111,Trigonometry,2,C,1,No,B,Physical,94.5
MAT 111,Trigonometry,2,C,1,No,C,Physical,100
MAT 111,Trigonometry,2,C,1,No,C,Physical,96.2
MAT 111,Trigonometry,2,C,1,No,C,Physical,100
MAT 111,Trigonometry,2,C,1,Yes,B,Hybrid,100
MAT 111,Trigonometry,2,C,1,Yes,C,Online,51.6
MAT 111,Trigonometry,2,C,1,Yes,E,Physical,83.6
MAT 111,Trigonometry,2,C,1,Yes,B,Physical,91
MAT 111,Trigonometry,2,C,1,Yes,C,Physical,87.5
MAT 111,Trigonometry,2,C,1,Yes,F,Hybrid,60.4
MAT 111,Trigonometry,2,C,1,Yes,B,Physical,96.2
MAT 111,Trigonometry,2,C,1,Yes,C,Hybrid,91.5
MAT 111,Trigonometry,2,C,1,Yes,A,Physical,72.6
MAT 111,Trigonometry,2,C,1,Yes,C,Online,65.4
MAT 111,Trigonometry,2,C,1,Yes,A,Online,96.7
MAT 111,Trigonometry,2,C,1,No,F,Physical,82.8
MAT 111,Trigonometry,2,C,1,Yes,D,Physical,68.6
MAT 111,Trigonometry,2,C,1,Yes,D,Online,85.1
MAT 111,Trigonometry,2,C,1,Yes,D,Physical,93.5
MAT 111,Trigonometry,2,C,1,No,C,Physical,74.6
MAT 111,Trigonometry,2,C,1,Yes,C,Online,100
MAT 111,Trigonometry,2,C,1,No,E,Physical,81.1
MAT 111,Trigonometry,2,C,1,Yes,F,Hybrid,71
MAT 141,Coordinate Geometry I,2,E,1,Yes,C,Physical,72.7
MAT 141,Coordinate Geometry I,2,E,1,Yes,E,Hybrid,54.7
MAT 141,Coordinate Geometry I,2,E,1,Yes,C,Physical,97
MAT 141,Coordinate Geometry I,2,E,1,No,C,Physical,100
MAT 141,Coordinate Geometry I,2,E,1,No,C,Physical,100
MAT 141,Coordinate Geometry I,2,E,1,No,B,Physical,88.8
MAT 141,Coordinate Geometry I,2,E,1,Yes,A,Physical,83.1
MAT 141,Coordinate Geometry I,2,E,1,Yes,B,Physical,84.7
MAT 141,Coordinate Geometry I,2,E,1,No,C,Physical,100
MAT 141,Coordinate Geometry I,2,E,1,Yes,B,Online,72.7
MAT 141,Coordinate Geometry I,2,E,1,Yes,C,Hybrid,100
MAT 141,Coordinate Geometry I,2,E,1,Yes,F,Physical,89.4
MAT 141,Coordinate Geometry I,2,E,1,Yes,B,Physical,91.2
MAT 141,Coordinate Geometry I,2,E,1,No,C,Physical,100
MAT 141,Coordinate Geometry I,2,E,1,No,A,Hybrid,91.3
MAT 141,Coordinate Geometry I,2,E,1,No,A,Physical,72.8
MAT 141,Coordinate Geometry I,2,E,1,Yes,D,Physical,100
MAT 141,Coordinate Geometry I,2,E,1,Yes,C,Hybrid,64.6
MAT 141,Coordinate Geometry I,2,E,1,Yes,D,Hybrid,65.9
MAT 141,Coordinate Geometry I,2,E,1,Yes,A,Online,84.2
MAT 141,Coordinate Geometry I,2,E,1,Yes,C,Online,96
MAT 141,Coordinate Geometry I,2,E,1,No,B,Hybrid,85.2
MAT 141,Coordinate Geometry I,2,E,1,No,B,Hybrid,77.5
MAT 141,Coordinate Geometry I,2,E,1,Yes,A,Physical,92.8
MAT 141,Coordinate Geometry I,2,E,1,No,A,Physical,82.6
MAT 141,Coordinate Geometry I,2,E,1,No,B,Physical,94.1
MAT 141,Coordinate Geometry I,2,E,1,Yes,A,Physical,85
MAT 141,Coordinate Geometry I,2,E,1,No,F,Physical,86.5
MAT 141,Coordinate Geometry I,2,E,1,Yes,B,Online,90.8
MAT 141,Coordinate Geometry I,2,E,1,Yes,A,Hybrid,77.7
MAT 141,Coordinate Geometry I,2,E,1,Yes,B,Hybrid,57.5
MAT 141,Coordinate Geometry I,2,E,1,No,C,Physical,93.4
MAT 141,Coordinate Geometry I,2,E,1,Yes,A,Physical,84.9
MAT 141,Coordinate Geometry I,2,E,1,Yes,E,Online,77.3
MAT 141,Coordinate Geometry I,2,E,1,Yes,F,Physical,95.8
MAT 141,Coordinate Geometry I,2,E,1,Yes,B,Physical,59.5
MAT 141,Coordinate Geometry I,2,E,1,No,C,Physical,83.8
MAT 141,Coordinate Geometry I,2,E,1,No,A,Physical,85.5
MAT 141,Coordinate Geometry I,2,E,1,Yes,C,Physical,81.7
MAT 141,Coordinate Geometry I,2,E,1,Yes,C,Hybrid,89.8
MAT 141,Coordinate Geometry I,2,E,1,Yes,B,Online,86.2
MAT 141,Coordinate Geometry I,2,E,1,Yes,B,Physical,73.2
MAT 141,Coordinate Geometry I,2,E,1,Yes,C,Hybrid,100
MAT 141,Coordinate Geometry I,2,E,1,Yes,C,Physical,75
MAT 141,Coordinate Geometry I,2,E,1,Yes,B,Physical,97.2
MAT 141,Coordinate Geometry I,2,E,1,No,C,Physical,92.1
MAT 141,Coordinate Geometry I,2,E,1,No,C,Hybrid,100
MAT 141,Coordinate Geometry I,2,E,1,Yes,E,Online,92
MAT 141,Coordinate Geometry I,2,E,1,Yes,A,Physical,100
MAT 141,Coordinate Geometry I,2,E,1,No,D,Online,86.1
MAT 141,Coordinate Geometry I,2,E,1,Yes,C,Online,79
MAT 141,Coordinate Geometry I,2,E,1,No,A,Physical,89.4
MAT 141,Coordinate Geometry I,2,E,1,No,C,Online,86.2
MAT 141,Coordinate Geometry I,2,E,1,Yes,C,Hybrid,89.8
MAT 141,Coordinate Geometry I,2,E,1,Yes,E,Hybrid,80.6
MAT 141,Coordinate Geometry I,2,E,1,No,A,Physical,100
MAT 141,Coordinate Geometry I,2,E,1,Yes,C,Physical,87.5
MAT 141,Coordinate Geometry I,2,E,1,Yes,B,Physical,100
MAT 141,Coordinate Geometry I,2,E,1,No,F,Hybrid,72.2
MAT 141,Coordinate Geometry I,2,E,1,Yes,B,Physical,66.2
MAT 141,Coordinate Geometry I,2,E,1,Yes,F,Online,66.6
MAT 141,Coordinate Geometry I,2,E,1,No,E,Hybrid,90.4
MAT 141,Coordinate Geometry I,2,E,1,Yes,B,Hybrid,65.3
MAT 141,Coordinate Geometry I,2,E,1,Yes,D,Physical,66.3
MAT 141,Coordinate Geometry I,2,E,1,No,F,Hybrid,77.6
MAT 141,Coordinate Geometry I,2,E,1,Yes,B,Hybrid,100
MAT 141,Coordinate Geometry I,2,E,1,No,C,Physical,100
MAT 141,Coordinate Geometry I,2,E,1,No,C,Physical,73.6
MAT 141,Coordinate Geometry I,2,E,1,Yes,B,Hybrid,82.6
MAT 141,Coordinate Geometry I,2,E,1,Yes,A,Physical,96.9
MAT 141,Coordinate Geometry I,2,E,1,Yes,B,Physical,68.9
MAT 141,Coordinate Geometry I,2,E,1,Yes,B,Online,92.3
MAT 141,Coordinate Geometry I,2,E,1,Yes,C,Hybrid,82.5
MAT 141,Coordinate Geometry I,2,E,1,No,B,Hybrid,100
MAT 141,Coordinate Geometry I,2,E,1,Yes,E,Online,51.3
MAT 141,Coordinate Geometry I,2,E,1,Yes,D,Hybrid,93.9
MAT 141,Coordinate Geometry I,2,E,1,No,A,Hybrid,81.3
MAT 141,Coordinate Geometry I,2,E,1,Yes,C,Hybrid,79.4
MAT 141,Coordinate Geometry I,2,E,1,No,C,Online,100
MAT 141,Coordinate Geometry I,2,E,1,Yes,F,Physical,97.4
MAT 141,Coordinate Geometry I,2,E,1,Yes,A,Physical,97.3
MAT 141,Coordinate Geometry I,2,E,1,No,B,Physical,100
MAT 141,Coordinate Geometry I,2,E,1,No,E,Physical,81
MAT 141,Coordinate Geometry I,2,E,1,No,E,Hybrid,79.8
MAT 141,Coordinate Geometry I,2,E,1,No,D,Physical,100
MAT 141,Coordinate Geometry I,2,E,1,No,D,Hybrid,82.1
MAT 141,Coordinate Geometry I,2,E,1,Yes,A,Online,100
MAT 141,Coordinate Geometry I,2,E,1,Yes,C,Physical,91.7
MAT 141,Coordinate Geometry I,2,E,1,No,B,Online,100
MAT 141,Coordinate Geometry I,2,E,1,No,B,Physical,100
MAT 141,Coordinate Geometry I,2,E,1,No,D,Physical,100
MAT 141,Coordinate Geometry I,2,E,1,Yes,A,Hybrid,83.4
MAT 141,Coordinate Geometry I,2,E,1,Yes,C,Physical,88.5
MAT 141,Coordinate Geometry I,2,E,1,No,E,Physical,99.6
MAT 141,Coordinate Geometry I,2,E,1,Yes,B,Physical,83.5
MAT 141,Coordinate Geometry I,2,E,1,No,F,Online,100
MAT 141,Coordinate Geometry I,2,E,1,No,F,Online,74
MAT 141,Coordinate Geometry I,2,E,1,Yes,C,Physical,74.5
MAT 141,Coordinate Geometry I,2,E,1,No,B,Physical,81.5
MAT 141,Coordinate Geometry I,2,E,1,No,B,Hybrid,100
PHY 101,General Physics I,3,C,1,Yes,C,Physical,99.4
PHY 101,General Physics I,3,C,1,No,B,Hybrid,81.4
PHY 101,General Physics I,3,C,1,Yes,B,Physical,90
PHY 101,General Physics I,3,C,1,No,F,Hybrid,81
PHY 101,General Physics I,3,C,1,Yes,B,Physical,89.4
PHY 101,General Physics I,3,C,1,No,D,Physical,82.9
PHY 101,General Physics I,3,C,1,Yes,A,Physical,77.9
PHY 101,General Physics I,3,C,1,Yes,C,Hybrid,70.3
PHY 101,General Physics I,3,C,1,No,E,Physical,95
PHY 101,General Physics I,3,C,1,Yes,B,Physical,94.2
PHY 101,General Physics I,3,C,1,Yes,B,Physical,100
PHY 101,General Physics I,3,C,1,No,C,Physical,100
PHY 101,General Physics I,3,C,1,No,D,Physical,98.7
PHY 101,General Physics I,3,C,1,Yes,C,Online,95.2
PHY 101,General Physics I,3,C,1,No,B,Physical,100
PHY 101,General Physics I,3,C,1,Yes,B,Physical,79.4
PHY 101,General Physics I,3,C,1,Yes,F,Online,64.1
PHY 101,General Physics I,3,C,1,Yes,E,Physical,82.5
