,Course_Code,Course_Title,Course_Credits,Requirement_Status,Materials_Available,Year,Grade,Attendance_Percentage,Mode
33,CSC 111,Introduction to Computer Science,3,C,Yes,1,B,67.0,Physical
34,CSC 111,Introduction to Computer Science,3,C,No,1,D,69.5,Hybrid
35,CSC 111,Introduction to Computer Science,3,C,Yes,1,A,74.2,Hybrid
36,CSC 111,Introduction to Computer Science,3,C,Yes,1,C,69.1,Physical
37,CSC 111,Introduction to Computer Science,3,C,Yes,1,A,75.5,Physical
38,CSC 111,Introduction to Computer Science,3,C,Yes,1,B,61.8,Physical
39,CSC 111,Introduction to Computer Science,3,C,No,1,B,72.1,Physical
40,CSC 111,Introduction to Computer Science,3,C,Yes,1,C,64.7,Hybrid
41,CSC 111,Introduction to Computer Science,3,C,No,1,A,87.8,Physical
42,CSC 111,Introduction to Computer Science,3,C,Yes,1,F,67.6,Physical
43,CSC 111,Introduction to Computer Science,3,C,No,1,B,78.9,Physical
44,CSC 111,Introduction to Computer Science,3,C,Yes,1,B,70.9,Physical
45,CSC 111,Introduction to Computer Science,3,C,Yes,1,B,57.4,Hybrid
46,CSC 111,Introduction to Computer Science,3,C,No,1,A,68.4,Physical
47,CSC 111,Introduction to Computer Science,3,C,Yes,1,A,66.6,Online
48,CSC 111,Introduction to Computer Science,3,C,No,1,D,69.1,Physical
49,CSC 111,Introduction to Computer Science,3,C,Yes,1,A,64.4,Hybrid
50,CSC 111,Introduction to Computer Science,3,C,No,1,A,79.5,Physical
51,CSC 111,Introduction to Computer Science,3,C,Yes,1,D,68.0,Physical
52,CSC 111,Introduction to Computer Science,3,C,No,1,C,66.3,Online
53,CSC 111,Introduction to Computer Science,3,C,No,1,C,73.5,Physical
54,CSC 111,Introduction to Computer Science,3,C,No,1,D,62.7,Hybrid
55,CSC 111,Introduction to Computer Science,3,C,No,1,B,81.7,Physical
56,CSC 111,Introduction to Computer Science,3,C,No,1,A,71.4,Hybrid
57,CSC 111,Introduction to Computer Science,3,C,No,1,D,75.0,Physical
58,CSC 111,Introduction to Computer Science,3,C,No,1,B,65.2,Online
59,CSC 111,Introduction to Computer Science,3,C,Yes,1,A,67.4,Hybrid
60,CSC 111,Introduction to Computer Science,3,C,No,1,B,72.6,Physical
61,CSC 111,Introduction to Computer Science,3,C,Yes,1,B,62.2,Physical
62,CSC 111,Introduction to Computer Science,3,C,Yes,1,F,59.4,Hybrid
63,CSC 111,Introduction to Computer Science,3,C,Yes,1,D,58.6,Hybrid
64,CSC 111,Introduction to Computer Science,3,C,No,1,B,66.3,Physical
65,CSC 111,Introduction to Computer Science,3,C,Yes,1,A,79.4,Hybrid
66,CSC 111,Introduction to Computer Science,3,C,No,1,B,73.3,Physical
67,CSC 111,Introduction to Computer Science,3,C,No,1,C,61.3,Physical
68,CSC 111,Introduction to Computer Science,3,C,Yes,1,D,72.0,Physical
69,CSC 111,Introduction to Computer Science,3,C,Yes,1,B,55.9,Hybrid
70,CSC 111,Introduction to Computer Science,3,C,No,1,B,77.4,Hybrid
71,CSC 111,Introduction to Computer Science,3,C,Yes,1,D,54.4,Hybrid
72,CSC 111,Introduction to Computer Science,3,C,Yes,1,C,74.6,Physical
73,CSC 111,Introduction to Computer Science,3,C,Yes,1,E,61.6,Physical
74,CSC 111,Introduction to Computer Science,3,C,Yes,1,A,77.2,Physical
75,CSC 111,Introduction to Computer Science,3,C,Yes,1,B,69.9,Online
76,CSC 111,Introduction to Computer Science,3,C,No,1,C,67.7,Hybrid
77,CSC 111,Introduction to Computer Science,3,C,No,1,F,68.7,Hybrid
78,CSC 111,Introduction to Computer Science,3,C,Yes,1,A,68.4,Physical
79,CSC 111,Introduction to Computer Science,3,C,No,1,C,70.6,Physical
80,CSC 111,Introduction to Computer Science,3,C,No,1,C,64.4,Hybrid
81,CSC 111,Introduction to Computer Science,3,C,No,1,B,67.0,Online
82,CSC 111,Introduction to Computer Science,3,C,Yes,1,B,56.1,Online
83,CSC 111,Introduction to Computer Science,3,C,No,1,F,56.5,Hybrid
84,CSC 111,Introduction to Computer Science,3,C,Yes,1,A,65.5,Hybrid
85,CSC 111,Introduction to Computer Science,3,C,Yes,1,B,62.7,Online
86,CSC 111,Introduction to Computer Science,3,C,Yes,1,C,69.5,Physical
87,CSC 111,Introduction to Computer Science,3,C,No,1,C,59.1,Online
88,CSC 111,Introduction to Computer Science,3,C,No,1,A,82.1,Physical
89,CSC 111,Introduction to Computer Science,3,C,Yes,1,A,60.6,Hybrid
90,CSC 111,Introduction to Computer Science,3,C,No,1,D,65.9,Hybrid
91,CSC 111,Introduction to Computer Science,3,C,Yes,1,C,69.1,Physical
92,CSC 111,Introduction to Computer Science,3,C,Yes,1,B,74.6,Physical
93,CSC 111,Introduction to Computer Science,3,C,Yes,1,C,57.7,Online
94,CSC 111,Introduction to Computer Science,3,C,No,1,A,64.1,Online
95,CSC 111,Introduction to Computer Science,3,C,No,1,C,75.8,Physical
96,CSC 111,Introduction to Computer Science,3,C,No,1,F,64.7,Online
97,CSC 111,Introduction to Computer Science,3,C,Yes,1,C,65.1,Physical
98,CSC 111,Introduction to Computer Science,3,C,Yes,1,A,70.7,Hybrid
99,CSC 111,Introduction to Computer Science,3,C,No,1,F,54.4,Online
100,MAT 101,Algebra,3,C,Yes,1,B,63.1,Online
101,MAT 101,Algebra,3,C,Yes,1,B,64.7,Hybrid
102,MAT 101,Algebra,3,C,No,1,C,76.0,Hybrid
103,MAT 101,Algebra,3,C,Yes,1,C,67.5,Hybrid
104,MAT 101,Algebra,3,C,Yes,1,C,58.7,Physical
105,MAT 101,Algebra,3,C,Yes,1,F,54.1,Online
106,MAT 101,Algebra,3,C,No,1,A,80.6,Physical
107,MAT 101,Algebra,3,C,No,1,C,61.4,Online
108,MAT 101,Algebra,3,C,No,1,B,66.4,Physical
109,MAT 101,Algebra,3,C,No,1,B,73.2,Physical
110,MAT 101,Algebra,3,C,Yes,1,C,57.4,Online
111,MAT 101,Algebra,3,C,No,1,A,69.1,Online
112,MAT 101,Algebra,3,C,No,1,C,62.1,Physical
113,MAT 101,Algebra,3,C,No,1,F,66.6,Hybrid
114,MAT 101,Algebra,3,C,No,1,D,64.0,Hybrid
115,MAT 101,Algebra,3,C,Yes,1,B,66.1,Online
116,MAT 101,Algebra,3,C,Yes,1,A,69.9,Physical
117,MAT 101,Algebra,3,C,Yes,1,A,74.8,Physical
118,MAT 101,Algebra,3,C,Yes,1,F,68.0,Physical
119,MAT 101,Algebra,3,C,No,1,B,57.7,Hybrid
120,MAT 101,Algebra,3,C,Yes,1,A,62.6,Online
121,MAT 101,Algebra,3,C,Yes,1,C,69.9,Physical
122,MAT 101,Algebra,3,C,Yes,1,C,68.0,Physical
123,MAT 101,Algebra,3,C,No,1,C,70.3,Physical
124,MAT 101,Algebra,3,C,Yes,1,E,65.1,Physical
125,MAT 101,Algebra,3,C,No,1,A,75.6,Physical
126,MAT 101,Algebra,3,C,Yes,1,D,60.8,Physical
127,MAT 101,Algebra,3,C,Yes,1,F,60.7,Physical
128,MAT 101,Algebra,3,C,Yes,1,C,62.9,Hybrid
129,MAT 101,Algebra,3,C,No,1,A,67.5,Hybrid
130,MAT 101,Algebra,3,C,Yes,1,C,58.2,Physical
131,MAT 101,Algebra,3,C,No,1,C,55.2,Hybrid
132,MAT 101,Algebra,3,C,Yes,1,A,55.6,Online
133,MAT 101,Algebra,3,C,Yes,1,D,63.5,Physical
134,MAT 101,Algebra,3,C,Yes,1,D,59.0,Physical
135,MAT 101,Algebra,3,C,Yes,1,E,59.5,Physical
136,MAT 101,Algebra,3,C,Yes,1,B,68.2,Hybrid
137,MAT 101,Algebra,3,C,No,1,D,65.4,Hybrid
138,MAT 101,Algebra,3,C,Yes,1,C,72.6,Physical
139,MAT 101,Algebra,3,C,Yes,1,A,60.6,Hybrid
140,MAT 101,Algebra,3,C,Yes,1,B,66.7,Physical
141,MAT 101,Algebra,3,C,Yes,1,C,61.5,Physical
142,MAT 101,Algebra,3,C,Yes,1,D,52.8,Online
143,MAT 101,Algebra,3,C,Yes,1,F,53.9,Online
144,MAT 101,Algebra,3,C,Yes,1,B,58.8,Online
145,MAT 101,Algebra,3,C,No,1,D,63.2,Hybrid
146,MAT 101,Algebra,3,C,No,1,A,85.2,Physical
147,MAT 101,Algebra,3,C,No,1,C,64.3,Physical
148,MAT 101,Algebra,3,C,Yes,1,C,60.1,Hybrid
149,MAT 101,Algebra,3,C,Yes,1,E,63.9,Physical
150,MAT 101,Algebra,3,C,Yes,1,C,63.5,Physical
151,MAT 101,Algebra,3,C,Yes,1,C,65.0,Hybrid
152,MAT 101,Algebra,3,C,No,1,D,81.0,Physical
153,MAT 101,Algebra,3,C,Yes,1,B,66.9,Physical
154,MAT 101,Algebra,3,C,Yes,1,B,67.4,Online
155,MAT 101,Algebra,3,C,Yes,1,C,67.2,Physical
156,MAT 101,Algebra,3,C,Yes,1,B,69.8,Hybrid
157,MAT 101,Algebra,3,C,Yes,1,C,61.9,Online
158,MAT 101,Algebra,3,C,Yes,1,D,52.8,Physical
159,MAT 101,Algebra,3,C,No,1,F,58.3,Online
160,MAT 101,Algebra,3,C,Yes,1,A,66.2,Hybrid
161,MAT 101,Algebra,3,C,Yes,1,B,69.3,Physical
162,MAT 101,Algebra,3,C,Yes,1,B,70.8,Hybrid
163,MAT 101,Algebra,3,C,No,1,C,71.6,Physical
164,MAT 101,Algebra,3,C,Yes,1,A,64.5,Online
165,MAT 101,Algebra,3,C,Yes,1,A,67.6,Physical
166,MAT 101,Algebra,3,C,Yes,1,A,70.8,Hybrid
167,MAT 101,Algebra,3,C,No,1,F,67.5,Physical
168,MAT 101,Algebra,3,C,Yes,1,B,70.7,Physical
169,MAT 101,Algebra,3,C,Yes,1,B,76.8,Hybrid
170,MAT 101,Algebra,3,C,Yes,1,A,66.3,Online
171,MAT 101,Algebra,3,C,No,1,B,63.1,Hybrid
172,MAT 101,Algebra,3,C,Yes,1,B,59.1,Online
173,MAT 101,Algebra,3,C,Yes,1,A,76.2,Physical
174,MAT 101,Algebra,3,C,Yes,1,A,66.3,Physical
175,MAT 101,Algebra,3,C,Yes,1,A,49.0,Online
176,MAT 101,Algebra,3,C,Yes,1,A,65.7,Physical
177,MAT 101,Algebra,3,C,Yes,1,E,61.9,Physical
178,MAT 101,Algebra,3,C,Yes,1,A,67.6,Physical
179,MAT 101,Algebra,3,C,Yes,1,E,57.5,Online
180,MAT 101,Algebra,3,C,Yes,1,D,54.8,Online
181,MAT 101,Algebra,3,C,Yes,1,D,61.7,Hybrid
182,MAT 101,Algebra,3,C,Yes,1,C,66.4,Physical
183,MAT 101,Algebra,3,C,Yes,1,A,68.2,Physical
184,MAT 101,Algebra,3,C,No,1,A,61.9,Physical
185,MAT 101,Algebra,3,C,Yes,1,E,63.5,Physical
186,MAT 101,Algebra,3,C,No,1,C,73.2,Physical
187,MAT 101,Algebra,3,C,No,1,C,69.6,Physical
188,MAT 101,Algebra,3,C,No,1,C,70.9,Physical
189,MAT 101,Algebra,3,C,Yes,1,B,65.6,Physical
190,MAT 101,Algebra,3,C,No,1,C,68.8,Physical
191,MAT 101,Algebra,3,C,No,1,B,73.0,Physical
192,MAT 101,Algebra,3,C,No,1,C,56.3,Online
193,MAT 101,Algebra,3,C,Yes,1,F,61.8,Online
194,MAT 101,Algebra,3,C,No,1,E,63.2,Physical
195,MAT 101,Algebra,3,C,Yes,1,A,61.2,Physical
196,MAT 101,Algebra,3,C,Yes,1,F,50.0,Online
197,MAT 101,Algebra,3,C,No,1,A,70.8,Hybrid
198,MAT 101,Algebra,3,C,Yes,1,A,75.8,Physical
199,MAT 101,Algebra,3,C,Yes,1,E,62.6,Physical
200,MAT 111,Trigonometry,2,C,Yes,1,F,57.9,Hybrid
201,MAT 111,Trigonometry,2,C,No,1,C,69.2,Physical
202,MAT 111,Trigonometry,2,C,Yes,1,A,72.7,Hybrid
203,MAT 111,Trigonometry,2,C,Yes,1,C,66.6,Physical
204,MAT 111,Trigonometry,2,C,Yes,1,C,60.0,Hybrid
205,MAT 111,Trigonometry,2,C,Yes,1,F,54.4,Physical
206,MAT 111,Trigonometry,2,C,No,1,B,61.0,Physical
207,MAT 111,Trigonometry,2,C,No,1,B,69.2,Physical
208,MAT 111,Trigonometry,2,C,Yes,1,B,57.2,Physical
209,MAT 111,Trigonometry,2,C,Yes,1,F,59.9,Hybrid
210,MAT 111,Trigonometry,2,C,Yes,1,B,61.9,Physical
211,MAT 111,Trigonometry,2,C,No,1,F,53.3,Online
212,MAT 111,Trigonometry,2,C,No,1,E,66.4,Hybrid
213,MAT 111,Trigonometry,2,C,Yes,1,E,54.9,Hybrid
214,MAT 111,Trigonometry,2,C,No,1,A,70.6,Hybrid
215,MAT 111,Trigonometry,2,C,No,1,C,69.8,Physical
216,MAT 111,Trigonometry,2,C,Yes,1,A,66.1,Physical
217,MAT 111,Trigonometry,2,C,No,1,B,60.3,Online
218,MAT 111,Trigonometry,2,C,No,1,A,63.0,Online
219,MAT 111,Trigonometry,2,C,Yes,1,F,61.3,Physical
220,MAT 111,Trigonometry,2,C,Yes,1,E,63.3,Hybrid
221,MAT 111,Trigonometry,2,C,Yes,1,B,51.6,Hybrid
222,MAT 111,Trigonometry,2,C,Yes,1,A,64.0,Hybrid
223,MAT 111,Trigonometry,2,C,Yes,1,A,62.4,Hybrid
224,MAT 111,Trigonometry,2,C,No,1,A,68.2,Physical
225,MAT 111,Trigonometry,2,C,Yes,1,A,59.3,Online
226,MAT 111,Trigonometry,2,C,No,1,F,51.2,Hybrid
227,MAT 111,Trigonometry,2,C,Yes,1,C,58.1,Physical
228,MAT 111,Trigonometry,2,C,Yes,1,F,48.2,Hybrid
229,MAT 111,Trigonometry,2,C,Yes,1,C,50.4,Online
230,MAT 111,Trigonometry,2,C,No,1,A,71.6,Physical
231,MAT 111,Trigonometry,2,C,No,1,A,76.6,Hybrid
232,MAT 111,Trigonometry,2,C,Yes,1,C,58.4,Physical
233,MAT 111,Trigonometry,2,C,No,1,C,57.7,Online
234,MAT 111,Trigonometry,2,C,No,1,C,58.0,Hybrid
235,MAT 111,Trigonometry,2,C,No,1,B,67.2,Physical
236,MAT 111,Trigonometry,2,C,Yes,1,A,71.8,Hybrid
237,MAT 111,Trigonometry,2,C,Yes,1,C,64.8,Physical
238,MAT 111,Trigonometry,2,C,No,1,B,72.1,Hybrid
239,MAT 111,Trigonometry,2,C,Yes,1,F,51.5,Physical
240,MAT 111,Trigonometry,2,C,No,1,D,65.4,Physical
241,MAT 111,Trigonometry,2,C,No,1,F,50.2,Hybrid
242,MAT 111,Trigonometry,2,C,No,1,A,63.3,Hybrid
243,MAT 111,Trigonometry,2,C,Yes,1,B,62.2,Hybrid
244,MAT 111,Trigonometry,2,C,No,1,B,64.8,Online
245,MAT 111,Trigonometry,2,C,No,1,A,75.7,Hybrid
246,MAT 111,Trigonometry,2,C,Yes,1,C,54.7,Hybrid
247,MAT 111,Trigonometry,2,C,Yes,1,B,63.3,Hybrid
248,MAT 111,Trigonometry,2,C,Yes,1,A,50.0,Online
249,MAT 111,Trigonometry,2,C,No,1,A,60.5,Hybrid
250,MAT 111,Trigonometry,2,C,No,1,B,63.8,Hybrid
251,MAT 111,Trigonometry,2,C,No,1,A,56.4,Online
252,MAT 111,Trigonometry,2,C,Yes,1,B,65.6,Physical
253,MAT 111,Trigonometry,2,C,Yes,1,C,59.8,Hybrid
254,MAT 111,Trigonometry,2,C,Yes,1,C,54.2,Online
255,MAT 111,Trigonometry,2,C,No,1,B,66.5,Physical
256,MAT 111,Trigonometry,2,C,Yes,1,C,49.4,Hybrid
257,MAT 111,Trigonometry,2,C,No,1,F,52.9,Online
258,MAT 111,Trigonometry,2,C,Yes,1,E,55.4,Hybrid
259,MAT 111,Trigonometry,2,C,No,1,A,77.9,Physical
260,MAT 111,Trigonometry,2,C,No,1,C,53.6,Online
261,MAT 111,Trigonometry,2,C,Yes,1,E,67.6,Physical
262,MAT 111,Trigonometry,2,C,No,1,A,69.7,Physical
263,MAT 111,Trigonometry,2,C,Yes,1,B,62.1,Physical
264,MAT 111,Trigonometry,2,C,No,1,B,69.4,Physical
265,MAT 111,Trigonometry,2,C,No,1,A,65.7,Online
266,MAT 111,Trigonometry,2,C,No,1,D,66.8,Physical
267,MAT 111,Trigonometry,2,C,No,1,A,74.2,Physical
268,MAT 111,Trigonometry,2,C,Yes,1,B,60.3,Physical
269,MAT 111,Trigonometry,2,C,Yes,1,D,57.7,Hybrid
270,MAT 111,Trigonometry,2,C,Yes,1,C,66.1,Physical
271,MAT 111,Trigonometry,2,C,Yes,1,C,59.0,Physical
272,MAT 111,Trigonometry,2,C,No,1,A,57.6,Online
273,MAT 111,Trigonometry,2,C,No,1,C,65.1,Physical
274,MAT 111,Trigonometry,2,C,Yes,1,A,67.1,Hybrid
275,MAT 111,Trigonometry,2,C,Yes,1,D,60.6,Physical
276,MAT 111,Trigonometry,2,C,Yes,1,C,58.8,Physical
277,MAT 111,Trigonometry,2,C,Yes,1,A,69.1,Physical
278,MAT 111,Trigonometry,2,C,Yes,1,B,56.8,Hybrid
279,MAT 111,Trigonometry,2,C,Yes,1,A,62.2,Online
280,MAT 111,Trigonometry,2,C,No,1,C,63.7,Online
281,MAT 111,Trigonometry,2,C,Yes,1,B,60.1,Online
282,MAT 111,Trigonometry,2,C,Yes,1,B,72.1,Hybrid
283,MAT 111,Trigonometry,2,C,Yes,1,E,54.3,Hybrid
284,MAT 111,Trigonometry,2,C,No,1,A,72.5,Hybrid
285,MAT 111,Trigonometry,2,C,Yes,1,E,59.4,Hybrid
286,MAT 111,Trigonometry,2,C,Yes,1,A,62.7,Hybrid
287,MAT 111,Trigonometry,2,C,No,1,F,57.9,Physical
288,MAT 111,Trigonometry,2,C,No,1,F,70.3,Hybrid
289,MAT 111,Trigonometry,2,C,Yes,1,F,52.2,Hybrid
290,MAT 111,Trigonometry,2,C,No,1,B,60.3,Hybrid
291,MAT 111,Trigonometry,2,C,No,1,B,57.8,Online
292,MAT 111,Trigonometry,2,C,Yes,1,B,62.5,Physical
293,MAT 111,Trigonometry,2,C,Yes,1,C,64.8,Hybrid
294,MAT 111,Trigonometry,2,C,Yes,1,E,61.1,Physical
295,MAT 111,Trigonometry,2,C,No,1,A,64.2,Physical
296,MAT 111,Trigonometry,2,C,No,1,F,62.0,Physical
297,MAT 111,Trigonometry,2,C,Yes,1,F,50.0,Online
298,MAT 111,Trigonometry,2,C,Yes,1,B,55.0,Hybrid
299,MAT 111,Trigonometry,2,C,Yes,1,A,71.7,Physical
300,MAT 141,Coordinate Geometry I,2,E,No,1,B,67.6,Online
301,MAT 141,Coordinate Geometry I,2,E,Yes,1,C,59.3,Physical
302,MAT 141,Coordinate Geometry I,2,E,Yes,1,C,49.4,Online
303,MAT 141,Coordinate Geometry I,2,E,Yes,1,C,61.3,Physical
304,MAT 141,Coordinate Geometry I,2,E,No,1,B,62.7,Online
305,MAT 141,Coordinate Geometry I,2,E,Yes,1,F,68.4,Hybrid
306,MAT 141,Coordinate Geometry I,2,E,Yes,1,D,60.4,Hybrid
307,MAT 141,Coordinate Geometry I,2,E,No,1,B,65.6,Physical
308,MAT 141,Coordinate Geometry I,2,E,No,1,B,57.1,Online
309,MAT 141,Coordinate Geometry I,2,E,No,1,C,74.9,Hybrid
310,MAT 141,Coordinate Geometry I,2,E,No,1,C,59.0,Online
311,MAT 141,Coordinate Geometry I,2,E,No,1,E,65.1,Hybrid
312,MAT 141,Coordinate Geometry I,2,E,Yes,1,D,59.2,Hybrid
313,MAT 141,Coordinate Geometry I,2,E,No,1,A,66.8,Hybrid
314,MAT 141,Coordinate Geometry I,2,E,Yes,1,B,66.5,Physical
315,MAT 141,Coordinate Geometry I,2,E,Yes,1,A,66.0,Hybrid
316,MAT 141,Coordinate Geometry I,2,E,No,1,A,70.6,Physical
317,MAT 141,Coordinate Geometry I,2,E,Yes,1,E,47.9,Hybrid
318,MAT 141,Coordinate Geometry I,2,E,Yes,1,F,56.8,Physical
319,MAT 141,Coordinate Geometry I,2,E,Yes,1,B,57.0,Hybrid
320,MAT 141,Coordinate Geometry I,2,E,No,1,F,49.8,Online
321,MAT 141,Coordinate Geometry I,2,E,Yes,1,C,61.5,Physical
322,MAT 141,Coordinate Geometry I,2,E,Yes,1,A,55.2,Hybrid
323,MAT 141,Coordinate Geometry I,2,E,No,1,A,69.9,Hybrid
324,MAT 141,Coordinate Geometry I,2,E,No,1,C,61.2,Online
325,MAT 141,Coordinate Geometry I,2,E,Yes,1,C,65.2,Physical
326,MAT 141,Coordinate Geometry I,2,E,Yes,1,D,55.5,Physical
327,MAT 141,Coordinate Geometry I,2,E,No,1,F,61.2,Hybrid
328,MAT 141,Coordinate Geometry I,2,E,No,1,C,58.3,Physical
329,MAT 141,Coordinate Geometry I,2,E,Yes,1,D,59.9,Hybrid
330,MAT 141,Coordinate Geometry I,2,E,No,1,B,63.8,Physical
331,MAT 141,Coordinate Geometry I,2,E,No,1,A,68.8,Hybrid
332,MAT 141,Coordinate Geometry I,2,E,Yes,1,B,62.1,Hybrid
333,MAT 141,Coordinate Geometry I,2,E,No,1,C,69.1,Physical
334,MAT 141,Coordinate Geometry I,2,E,No,1,A,61.9,Online
335,MAT 141,Coordinate Geometry I,2,E,Yes,1,A,61.7,Physical
336,MAT 141,Coordinate Geometry I,2,E,No,1,A,69.3,Physical
337,MAT 141,Coordinate Geometry I,2,E,No,1,A,68.5,Physical
338,MAT 141,Coordinate Geometry I,2,E,No,1,C,69.2,Physical
339,MAT 141,Coordinate Geometry I,2,E,Yes,1,A,71.8,Hybrid
340,MAT 141,Coordinate Geometry I,2,E,Yes,1,A,59.0,Physical
341,MAT 141,Coordinate Geometry I,2,E,No,1,B,65.4,Physical
342,MAT 141,Coordinate Geometry I,2,E,Yes,1,A,63.4,Online
343,MAT 141,Coordinate Geometry I,2,E,Yes,1,B,58.2,Hybrid
344,MAT 141,Coordinate Geometry I,2,E,Yes,1,E,56.1,Physical
345,MAT 141,Coordinate Geometry I,2,E,Yes,1,D,52.9,Online
346,MAT 141,Coordinate Geometry I,2,E,Yes,1,A,63.6,Hybrid
347,MAT 141,Coordinate Geometry I,2,E,Yes,1,E,50.3,Hybrid
348,MAT 141,Coordinate Geometry I,2,E,No,1,A,76.8,Hybrid
349,MAT 141,Coordinate Geometry I,2,E,Yes,1,B,51.9,Online
350,MAT 141,Coordinate Geometry I,2,E,Yes,1,D,60.2,Hybrid
351,MAT 141,Coordinate Geometry I,2,E,Yes,1,A,66.2,Physical
352,MAT 141,Coordinate Geometry I,2,E,No,1,C,59.4,Physical
353,MAT 141,Coordinate Geometry I,2,E,No,1,B,64.1,Online
354,MAT 141,Coordinate Geometry I,2,E,Yes,1,D,58.9,Hybrid
355,MAT 141,Coordinate Geometry I,2,E,Yes,1,B,64.4,Hybrid
356,MAT 141,Coordinate Geometry I,2,E,Yes,1,E,55.3,Physical
357,MAT 141,Coordinate Geometry I,2,E,Yes,1,B,66.8,Physical
358,MAT 141,Coordinate Geometry I,2,E,Yes,1,A,60.8,Hybrid
359,MAT 141,Coordinate Geometry I,2,E,No,1,B,60.8,Online
360,MAT 141,Coordinate Geometry I,2,E,Yes,1,C,59.5,Online
361,MAT 141,Coordinate Geometry I,2,E,No,1,B,72.7,Physical
362,MAT 141,Coordinate Geometry I,2,E,Yes,1,E,54.7,Hybrid
363,MAT 141,Coordinate Geometry I,2,E,Yes,1,B,56.0,Online
364,MAT 141,Coordinate Geometry I,2,E,Yes,1,A,65.9,Hybrid
365,MAT 141,Coordinate Geometry I,2,E,Yes,1,F,55.7,Physical
366,MAT 141,Coordinate Geometry I,2,E,Yes,1,B,64.8,Physical
367,MAT 141,Coordinate Geometry I,2,E,Yes,1,F,55.8,Physical
368,MAT 141,Coordinate Geometry I,2,E,No,1,B,60.2,Hybrid
369,MAT 141,Coordinate Geometry I,2,E,Yes,1,D,52.6,Online
370,MAT 141,Coordinate Geometry I,2,E,Yes,1,C,59.2,Physical
371,MAT 141,Coordinate Geometry I,2,E,Yes,1,B,60.8,Physical
372,MAT 141,Coordinate Geometry I,2,E,Yes,1,F,60.0,Hybrid
373,MAT 141,Coordinate Geometry I,2,E,Yes,1,E,50.8,Online
374,MAT 141,Coordinate Geometry I,2,E,Yes,1,C,55.6,Physical
375,MAT 141,Coordinate Geometry I,2,E,No,1,A,74.5,Physical
376,MAT 141,Coordinate Geometry I,2,E,Yes,1,C,61.7,Physical
377,MAT 141,Coordinate Geometry I,2,E,No,1,B,62.7,Physical
378,MAT 141,Coordinate Geometry I,2,E,Yes,1,D,56.9,Hybrid
379,MAT 141,Coordinate Geometry I,2,E,Yes,1,E,59.2,Physical
380,MAT 141,Coordinate Geometry I,2,E,No,1,F,58.9,Physical
381,MAT 141,Coordinate Geometry I,2,E,Yes,1,B,56.9,Online
382,MAT 141,Coordinate Geometry I,2,E,No,1,A,65.8,Physical
383,MAT 141,Coordinate Geometry I,2,E,Yes,1,C,64.3,Hybrid
384,MAT 141,Coordinate Geometry I,2,E,No,1,B,69.8,Hybrid
